EcologExpTime,PlateCode,C -Source,Well,OD,WellNr,Date,Time
40,1,Phenylethyl-amine,G4,0.104,60,14/07/2012,14:47:11
40,1,_-D-Lactose,H1,0.05,61,14/07/2012,14:47:11
40,1,D L-_-Glycerol Phosphate,H2,0.1,62,14/07/2012,14:47:11
40,1,D-Malic Acid,H3,0.132,63,14/07/2012,14:47:11
40,1,Putrescine,H4,0.076,64,14/07/2012,14:47:11
40,1,Water,A1,0.058,65,14/07/2012,14:47:11
40,1,_-Methyl-D-Glucoside,A2,0.115,66,14/07/2012,14:47:11
40,1,D-Galactonic Acid _-Lactone,A3,0.042,67,14/07/2012,14:47:11
40,1,L-Arginine,A4,0.099,68,14/07/2012,14:47:11
40,1,Pyruvic Acid Methyl Ester,B1,0.052,69,14/07/2012,14:47:11
40,1,D-Xylose,B2,0.163,70,14/07/2012,14:47:11
40,1,D-Galacturonic Acid,B3,0.044,71,14/07/2012,14:47:11
40,1,L-Asparagine,B4,0.057,72,14/07/2012,14:47:11
40,1,Tween 40,C1,0.082,73,14/07/2012,14:47:11
40,1,i-Erythritol,C2,0.096,74,14/07/2012,14:47:11
40,1,2-Hydroxy Benzoic Acid,C3,0.063,75,14/07/2012,14:47:11
40,1,L-Phenylalanine,C4,0.042,76,14/07/2012,14:47:11
40,1,Tween 80,D1,0.042,77,14/07/2012,14:47:11
40,1,D-Mannitol,D2,0.047,78,14/07/2012,14:47:11
40,1,4-Hydroxy Benzoic Acid,D3,0.044,79,14/07/2012,14:47:11
40,1,L-Serine,D4,0.044,80,14/07/2012,14:47:11
40,1,_-Cyclodextrin,E1,0.044,81,14/07/2012,14:47:11
40,1,N-Acetyl-D-Glucosamine,E2,0.07,82,14/07/2012,14:47:11
40,1,_-Hydroxybutyric Acid,E3,0.047,83,14/07/2012,14:47:11
40,1,L-Threonine,E4,0.044,84,14/07/2012,14:47:11
40,1,Glycogen,F1,0.061,85,14/07/2012,14:47:11
40,1,D-Glucosaminic Acid,F2,0.042,86,14/07/2012,14:47:11
40,1,Itaconic Acid,F3,0.059,87,14/07/2012,14:47:11
40,1,Glycyl-L-Glutamic Acid,F4,0.048,88,14/07/2012,14:47:11
40,1,D-Cellobiose,G1,0.066,89,14/07/2012,14:47:11
