EcologExpTime,PlateCode,C -Source,Well,OD700,WellNr,Date,Time
13,1,D-Mannitol,D2,0.041,46,15/06/2012,13:28:17
13,1,4-Hydroxy Benzoic Acid,D3,0.051,47,15/06/2012,13:28:17
13,1,L-Serine,D4,0.042,48,15/06/2012,13:28:17
13,1,_-Cyclodextrin,E1,0.042,49,15/06/2012,13:28:17
13,1,N-Acetyl-D-Glucosamine,E2,0.04,50,15/06/2012,13:28:17
13,1,_-Hydroxybutyric Acid,E3,0.04,51,15/06/2012,13:28:17
13,1,L-Threonine,E4,0.04,52,15/06/2012,13:28:17
13,1,Glycogen,F1,0.045,53,15/06/2012,13:28:17
13,1,D-Glucosaminic Acid,F2,0.039,54,15/06/2012,13:28:17
13,1,Itaconic Acid,F3,0.044,55,15/06/2012,13:28:17
13,1,Glycyl-L-Glutamic Acid,F4,0.039,56,15/06/2012,13:28:17
13,1,D-Cellobiose,G1,0.045,57,15/06/2012,13:28:17
13,1,Glucose-1-Phosphate,G2,0.045,58,15/06/2012,13:28:17
13,1,_-Ketobutyric Acid,G3,0.06,59,15/06/2012,13:28:17
13,1,Phenylethyl-amine,G4,0.048,60,15/06/2012,13:28:17
13,1,_-D-Lactose,H1,0.047,61,15/06/2012,13:28:17
13,1,D L-_-Glycerol Phosphate,H2,0.04,62,15/06/2012,13:28:17
13,1,D-Malic Acid,H3,0.04,63,15/06/2012,13:28:17
13,1,Putrescine,H4,0.041,64,15/06/2012,13:28:17
13,1,Water,A1,0.048,65,15/06/2012,13:28:17
13,1,_-Methyl-D-Glucoside,A2,0.039,66,15/06/2012,13:28:17
13,1,D-Galactonic Acid _-Lactone,A3,0.04,67,15/06/2012,13:28:17
13,1,L-Arginine,A4,0.039,68,15/06/2012,13:28:17
13,1,Pyruvic Acid Methyl Ester,B1,0.05,69,15/06/2012,13:28:17
13,1,D-Xylose,B2,0.046,70,15/06/2012,13:28:17
13,1,D-Galacturonic Acid,B3,0.04,71,15/06/2012,13:28:17
13,1,L-Asparagine,B4,0.044,72,15/06/2012,13:28:17
13,1,Tween 40,C1,0.039,73,15/06/2012,13:28:17
13,1,i-Erythritol,C2,0.041,74,15/06/2012,13:28:17
13,1,2-Hydroxy Benzoic Acid,C3,0.041,75,15/06/2012,13:28:17
13,1,L-Phenylalanine,C4,0.041,76,15/06/2012,13:28:17
13,1,Tween 80,D1,0.041,77,15/06/2012,13:28:17
13,1,D-Mannitol,D2,0.042,78,15/06/2012,13:28:17
13,1,4-Hydroxy Benzoic Acid,D3,0.044,79,15/06/2012,13:28:17
13,1,L-Serine,D4,0.045,80,15/06/2012,13:28:17
13,1,_-Cyclodextrin,E1,0.041,81,15/06/2012,13:28:17
13,1,N-Acetyl-D-Glucosamine,E2,0.077,82,15/06/2012,13:28:17
13,1,_-Hydroxybutyric Acid,E3,0.042,83,15/06/2012,13:28:17
13,1,L-Threonine,E4,0.042,84,15/06/2012,13:28:17
13,1,Glycogen,F1,0.042,85,15/06/2012,13:28:17
13,1,D-Glucosaminic Acid,F2,0.04,86,15/06/2012,13:28:17
13,1,Itaconic Acid,F3,0.043,87,15/06/2012,13:28:17
13,1,Glycyl-L-Glutamic Acid,F4,0.041,88,15/06/2012,13:28:17
13,1,D-Cellobiose,G1,0.039,89,15/06/2012,13:28:17
13,1,Glucose-1-Phosphate,G2,0.041,90,15/06/2012,13:28:17
13,1,_-Ketobutyric Acid,G3,0.041,91,15/06/2012,13:28:17
13,1,Phenylethyl-amine,G4,0.04,92,15/06/2012,13:28:17
13,1,_-D-Lactose,H1,0.042,93,15/06/2012,13:28:17
13,1,D L-_-Glycerol Phosphate,H2,0.087,94,15/06/2012,13:28:17
13,1,D-Malic Acid,H3,0.041,95,15/06/2012,13:28:17
13,1,Putrescine,H4,0.044,96,15/06/2012,13:28:17
40,1,Water,A1,0.044,1,16/06/2012,16:59:43
40,1,_-Methyl-D-Glucoside,A2,0.045,2,16/06/2012,16:59:43
40,1,D-Galactonic Acid _-Lactone,A3,0.043,3,16/06/2012,16:59:43
40,1,L-Arginine,A4,0.046,4,16/06/2012,16:59:43
40,1,Pyruvic Acid Methyl Ester,B1,0.044,5,16/06/2012,16:59:43
40,1,D-Xylose,B2,0.042,6,16/06/2012,16:59:43
40,1,D-Galacturonic Acid,B3,0.044,7,16/06/2012,16:59:43
40,1,L-Asparagine,B4,0.068,8,16/06/2012,16:59:43
40,1,Tween 40,C1,0.043,9,16/06/2012,16:59:43
40,1,i-Erythritol,C2,0.042,10,16/06/2012,16:59:43
40,1,2-Hydroxy Benzoic Acid,C3,0.041,11,16/06/2012,16:59:43
40,1,L-Phenylalanine,C4,0.045,12,16/06/2012,16:59:43
40,1,Tween 80,D1,0.043,13,16/06/2012,16:59:43
40,1,D-Mannitol,D2,0.055,14,16/06/2012,16:59:43
40,1,4-Hydroxy Benzoic Acid,D3,0.043,15,16/06/2012,16:59:43
40,1,L-Serine,D4,0.044,16,16/06/2012,16:59:43
40,1,_-Cyclodextrin,E1,0.041,17,16/06/2012,16:59:43
40,1,N-Acetyl-D-Glucosamine,E2,0.052,18,16/06/2012,16:59:43
40,1,_-Hydroxybutyric Acid,E3,0.041,19,16/06/2012,16:59:43
40,1,L-Threonine,E4,0.041,20,16/06/2012,16:59:43
40,1,Glycogen,F1,0.045,21,16/06/2012,16:59:43
40,1,D-Glucosaminic Acid,F2,0.046,22,16/06/2012,16:59:43
40,1,Itaconic Acid,F3,0.109,23,16/06/2012,16:59:43
40,1,Glycyl-L-Glutamic Acid,F4,0.043,24,16/06/2012,16:59:43
40,1,D-Cellobiose,G1,0.055,25,16/06/2012,16:59:43
40,1,Glucose-1-Phosphate,G2,0.042,26,16/06/2012,16:59:43
40,1,_-Ketobutyric Acid,G3,0.042,27,16/06/2012,16:59:43
40,1,Phenylethyl-amine,G4,0.042,28,16/06/2012,16:59:43
40,1,_-D-Lactose,H1,0.13,29,16/06/2012,16:59:43
