"OTU.ID"	"gbg25"	"gbg3"	"gbg1"	"gbg29"	"gbg17"	"gbg31"	"gbg22"	"gbg10"	"gbg49"	"gbg37"	"gbg27"	"gbg23"	"gbg24"	"gbg5"	"gbg21"	"gbg19"	"gbg7"	"gbg4"	"gbg8"	"gbg13"	"gbg36"	"gbg41"	"gbg14"	"gbg43"	"gbg15"	"gbg48"	"gbg30"	"gbg18"	"gbg6"	"gbg34"	"gbg39"	"gbg50"	"gbg40"	"gbg28"	"gbg26"	"gbg9"	"gbg45"	"gbg32"	"gbg42"	"gbg38"	"gbg46"	"gbg44"	"gbg20"	"gbg11"	"gbg2"	"gbg33"	"gbg16"	"gbg47"	"gbg35"	"gbg12"	"gbg86"	"gbg77"	"gbg65"	"gbg71"	"gbg63"	"gbg79"	"gbg60"	"gbg73"	"gbg88"	"gbg85"	"gbg75"	"gbg72"	"gbg95"	"gbg62"	"gbg74"	"gbg89"	"gbg51"	"gbg58"	"gbg61"	"gbg76"	"gbg52"	"gbg67"	"gbg56"	"gbg53"	"gbg87"	"gbg92"	"gbg98"	"gbg80"	"gbg82"	"gbg64"	"gbg91"	"gbg54"	"gbg57"	"gbg93"	"gbg81"	"gbg68"	"gbg78"	"gbg70"	"gbg100"	"gbg69"	"gbg55"	"gbg66"	"gbg94"	"gbg99"	"gbg90"	"gbg83"	"gbg84"	"gbg59"	"gbg97"	"gbg117"	"gbg111"	"gbg118"	"gbg125"	"gbg101"	"gbg115"	"gbg106"	"gbg121"	"gbg127"	"gbg110"	"gbg112"	"gbg103"	"gbg113"	"gbg107"	"gbg140"	"gbg120"	"gbg132"	"gbg119"	"gbg136"	"gbg108"	"gbg123"	"gbg130"	"gbg135"	"gbg105"	"gbg126"	"gbg128"	"gbg102"	"gbg109"	"gbg104"	"gbg124"	"gbg141"	"gbg139"	"gbg114"	"gbg122"	"gbg131"	"gbg145"	"gbg138"	"gbg129"	"gbg134"	"gbg137"	"gbg116"	"gbg142"	"gbg133"	"gbg144"	"gbg143"
"11"	"OTU_47"	0	1	0	0	0	0	0	0	6	1742	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	60	13	24	0	0	0	1	0	0	279	0	0	0	0	0	0	0	0	1	0	102	0	0	0	0	0	0	0	4	800	0	0	0	0	0	1	3	0	0	0	3	0	0	1	41	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	28	0	0	1	0	0	0	21	0	0	0	532	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	0	0
"12"	"OTU_15"	0	0	0	0	0	1	3	0	0	3	0	0	10460	0	1	0	0	1	0	0	4697	0	0	0	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	1	0	15310	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	761	0	0	0	0	0	0	0	0	0	3577	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	811	0	0
"13"	"OTU_8"	71	393	0	0	570	0	53	19	9	5	0	0	0	621	699	321	1005	2123	0	127	0	0	682	0	241	0	0	238	2790	0	0	277	0	0	4	5	0	0	0	1	1	2	111	0	168	0	91	0	0	1	0	2	748	2	506	0	0	316	1	0	8	1559	0	1116	1	0	374	167	474	1	2951	873	0	5017	0	2	43	0	1	1482	0	2563	169	1	0	213	0	898	199	2923	2430	1327	1	432	0	0	10	1	1	295	1256	5824	3	6712	1097	517	676	0	438	1458	1140	1625	417	0	0	1	3518	1	3	7	0	0	5	1	4	5136	320	8081	1	0	0	1372	205	0	0	0	1	0	0	143	0	19	0	0
"14"	"OTU_11"	612	232	2	0	295	0	0	0	1	0	28	0	2	661	2	163	1920	1333	0	15	1	1	160	1	67	0	0	154	1858	0	0	119	0	0	279	0	0	0	0	2	0	0	1	0	108	0	30	0	0	0	3	508	941	1560	185	541	0	1385	0	1	2169	431	0	439	1495	4	337	1	55	942	1577	744	1	2547	1	0	2	8	3	664	0	301	0	0	2	0	2	0	111	0	2684	1146	0	95	0	0	585	0	0	0	816	12	2424	2595	1916	1	3821	480	332	1313	396	1616	1	0	1896	6	5	0	2	1362	12	3	3	0	1495	3971	6	6378	772	0	0	1688	1785	288	0	0	109	8	0	441	1	297	0	0
"15"	"OTU_33"	1	3	0	1	2	2	0	2	0	2	1	0	489	2	2	0	0	4	4721	0	491	1	1	0	1	0	2170	1	2	7605	3	0	0	2	1	724	0	2	0	3	1	0	0	341	0	1687	0	0	0	0	0	0	0	2	1	0	90	0	0	0	0	835	2	0	0	1	0	5	0	1	0	0	3522	0	0	3	0	0	561	0	0	0	141	0	1566	0	806	0	0	1	4	0	0	0	1	1	108	489	0	0	1	5	25	2	1	167	903	7	0	0	0	0	2	0	5	4	8	0	264	4	1095	2	4506	71	5	3	93	9	2	0	1	1	0	540	0	0	3	2	8	0	0	119	0	0
"16"	"OTU_14"	30	0	3	1	50	2	0	0	2	1	3	0	0	0	12110	1	0	1	2	15	0	0	82	0	81	0	0	0	2	0	36	251	775	0	2	0	0	1	0	0	1	0	0	0	633	0	19	0	0	0	0	2	34	0	53	0	0	3	203	2	1	1	0	33	1	0	1	0	6	1	1	0	0	0	37	0	0	2	0	116	0	0	0	0	0	2	2	0	0	9967	0	0	1	332	0	0	1	3	0	0	54	16670	1	1	1	0	5	0	14	29	3	137	0	0	0	1	1	15	4	1	0	0	2	0	1	0	1	0	1	0	0	174	11	0	0	0	3	0	143	0	0	7	0	0
"17"	"OTU_3"	420	3065	1069	0	3	0	0	13	199	1	3	4	0	1260	1	1	36	4775	1273	432	0	0	382	0	92	2	0	4	1273	0	0	1814	1	0	6	22	1	0	1	1	0	0	0	0	3944	0	4	0	0	0	1	0	4	1	25	0	0	42	0	2	1	0	3	425	0	11	2298	172	218	33	3725	6	14240	7477	1	2	42	0	0	8	1	3970	2915	0	0	0	1	0	1050	1	45	12	0	634	1	0	1	0	0	4	77	3	4	6105	16	5789	0	1	63	7	2146	4	336	0	0	0	0	1	2	2	0	0	15430	0	0	5385	1	48	1	0	0	11	17	0	0	0	0	0	0	19	0	2	0	0
"18"	"OTU_30"	9	0	1	0	0	0	0	0	1	347	0	0	0	0	0	0	0	0	0	3	0	350	1	0	0	0	0	0	0	0	521	0	1422	0	4	0	0	0	758	444	0	0	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0	6	532	885	172	0	0	0	2	975	2	0	2	0	0	0	0	0	959	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2018	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	834	0	1713	0	1217	1	0	0	0	1	0	1198	0	880	0	7	0	0	1161	0	621	873	0	0	0	0	0
"19"	"OTU_19"	6	8	231	1	0	0	0	0	57	13640	0	0	0	0	0	0	0	3	0	0	0	18	0	1	0	0	1	1	0	0	448	17	165	0	0	0	0	0	5	2333	0	0	0	0	14	0	0	0	2	0	2266	0	0	1	0	0	0	9	24	7616	0	0	0	0	0	9	5	0	1	0	2	0	0	0	296	0	14	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	3	4	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	199	0	1	1	4139	0	0	0	0	0	0	0	0	0	1	2	0	0	4	1	335	5	0	0	0	0	0
"20"	"OTU_44"	2922	4	39	2	0	0	0	0	389	0	45	1	0	0	0	0	0	2	0	40	0	0	10	0	1	1	0	0	0	0	0	51	0	7	98	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	0	0	203	0	0	34	0	0	30	1	0	13	0	31	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	4	0	0	1	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
