"BOT"	"Lake"	"Sampling"	"DIL"	"effN"	"PD"
"28"	34	"Lake 3"	14.06	"09"	2.29073857097268	1.57636302576086
"29"	35	"Lake 3"	14.06	"10"	1.25989592255753	1.23883109053374
"30"	36	"Lake 3"	14.06	"S"	2.58170635792288	1.28905222072045
"31"	37	"Lake 1"	14.06	"0"	9.42841592896519	6.03324923884623
"32"	38	"Lake 1"	14.06	"01"	7.63717821299013	4.75648817580838
"33"	39	"Lake 1"	14.06	"02"	6.57485534935897	2.94683568822765
"34"	4	"Lake 4"	14.06	"03"	2.67667667191423	2.40003797754541
"35"	40	"Lake 1"	14.06	"03"	6.47098532314518	2.65576597130149
"36"	41	"Lake 1"	14.06	"04"	4.95576081109022	2.36334200641231
"37"	42	"Lake 1"	14.06	"05"	5.109452052784	2.39692789079973
"38"	43	"Lake 1"	14.06	"06"	2.52609632289768	1.32171316020291
"39"	44	"Lake 1"	14.06	"07"	2.03691770927271	1.41685214146065
"40"	45	"Lake 1"	14.06	"08"	1.86389519782865	1.27396260240873
"41"	46	"Lake 1"	14.06	"09"	1.72570861233881	1.15728250229689
"42"	47	"Lake 1"	14.06	"10"	1.76148331992701	1.13707441149709
"43"	48	"Lake 1"	14.06	"S"	1.35969709931263	1.24432890423022
"44"	1	"Lake 4"	28.06	"0"	21.4712945141576	10.2608527037399
"45"	5	"Lake 4"	14.06	"04"	1.96601508743851	1.83891489834387
"46"	2	"Lake 4"	28.06	"01"	13.2936083457892	9.01008997393511
"47"	6	"Lake 4"	14.06	"05"	2.62301142885086	2.14619410580782
"48"	7	"Lake 4"	14.06	"06"	2.48595736967059	2.00019328098708
"49"	8	"Lake 4"	14.06	"07"	2.10565022865313	1.80429526957159
"50"	9	"Lake 4"	14.06	"08"	2.74303646335951	2.59673445428395
"51"	3	"Lake 4"	28.06	"02"	7.09372425308528	5.96379276858673
"52"	12	"Lake 4"	28.06	"S"	2.05188865394828	1.29961598610998
"53"	13	"Lake 2"	28.06	"0"	25.4972705631037	9.36241164407583
"54"	14	"Lake 2"	28.06	"01"	11.1580260615817	7.31032437374522
"55"	15	"Lake 2"	28.06	"02"	6.26505839982366	4.25489703462979
"56"	16	"Lake 2"	28.06	"03"	6.45916313486389	3.94254129201797
"57"	17	"Lake 2"	28.06	"04"	5.27345954491682	3.5008456921183
"58"	18	"Lake 2"	28.06	"05"	3.74986925221193	2.95025261366196
"59"	19	"Lake 2"	28.06	"06"	5.66001576287726	3.98809116855397
"60"	20	"Lake 2"	28.06	"07"	2.56014886282746	2.50733601834051
"61"	21	"Lake 2"	28.06	"08"	4.17434226574311	2.615251724347
"62"	4	"Lake 4"	28.06	"03"	5.49828887899107	4.57056063533476
"63"	22	"Lake 2"	28.06	"09"	2.98356955480789	1.91277396542267
"64"	23	"Lake 2"	28.06	"10"	4.01619571530513	2.85899711254983
"65"	24	"Lake 2"	28.06	"S"	3.18814546691447	1.93361608510001
"66"	25	"Lake 3"	28.06	"0"	20.556542644226	9.07145144519365
"67"	26	"Lake 3"	28.06	"01"	6.35641075484839	5.07392810551098
"68"	27	"Lake 3"	28.06	"02"	15.3528602478313	9.45609888001293
"69"	28	"Lake 3"	28.06	"03"	8.90692508558177	6.12712484262727
"70"	29	"Lake 3"	28.06	"04"	2.97038663567347	2.41319942439891
"71"	30	"Lake 3"	28.06	"05"	3.10951064739076	2.75838931118012
"72"	31	"Lake 3"	28.06	"06"	5.34369266388123	4.2445716314194
"73"	5	"Lake 4"	28.06	"04"	4.71213019407176	3.57528866136046
